mab_id,titer_mg_L,up_sec_pct_hmw,up_sec_pct_main,up_sec_pct_lmw,up_sec_retention_time_min,hp_rp_pct_pre,hp_rp_pct_main,hp_rp_pct_post,ce_sds_nr_pct_lmw,ce_sds_nr_pct_main,ce_sds_nr_pct_hmw,ce_sds_red_pct_lc,ce_sds_red_pct_hc,ce_sds_red_pct_others,nano_dsf_tonset_c,nano_dsf_tm1_c,nano_dsf_tagg_c,ac_sins_naac_ph_5_5,ac_sins_pbs_ph_7_4,low_ph_hold_up_sec_pct_hmw,low_ph_hold_up_sec_pct_main,low_ph_hold_up_sec_pct_lmw,low_ph_hold_up_sec_retention_time_min,cief_pi,patch_cdr_hyd,patch_hyd,patch_cdr_ion,patch_ion,isotype_igg4,hic_rt_min
mAb134,477.8,2.36,97.64,0.0,2.457,0.0,100.0,0.0,0.0,100.0,0.0,31.9,67.7,0.4,55.728084564209,66.2,73.9460678100586,558.5,560.0,1.2,98.8,0.0,2.566,7.692,142,534,218,1152,1,37.3
mAb135,546.4,2.58,97.42,0.0,2.474,0.0,100.0,0.0,0.0,100.0,0.0,32.22,67.23,0.55,55.2686958312988,66.3,73.9445266723633,559.0,558.5,2.12,97.88,0.0,2.58,7.696,204,596,304,1006,1,37.35
mAb136,594.3,2.06,97.94,0.0,2.467,0.0,100.0,0.0,0.0,100.0,0.0,32.39,67.22,0.39,59.8681449890137,66.3,74.9933624267578,556.0,561.5,0.91,99.09,0.0,2.569,7.719,216,638,346,1194,1,37.25
mAb137,314.1,1.62,98.38,0.0,2.699,0.0,100.0,0.0,0.342026511158788,99.6579734888412,0.0,33.1739348389493,66.6399485596128,0.186116601437902,59.5,66.4,74.8,563.0,564.0,1.73,98.27,0.0,2.388,8.17,282,664,366,1132,1,24.954
mAb138,213.6,4.36,95.64,0.0,2.8,0.0,100.0,0.0,2.08311857345797,97.916881426542,0.0,33.7358883386306,65.6908473219347,0.573264339434701,58.9,65.7,73.2,563.0,561.0,1.07,98.93,0.0,2.399,8.217,264,642,300,1086,1,23.937
mAb139,390.1,5.76,94.24,0.0,2.68,0.0,99.0,1.0,0.670117624973728,99.3298823750263,0.0,33.2486652411457,66.560562235533,0.1907725233213,60.0,66.4,73.3,556.0,563.0,2.49,97.51,0.0,2.381,7.913,160,548,256,1034,1,24.429
mAb140,269.1,5.25,94.76,0.0,2.605,0.0,100.0,0.0,0.623711519134416,99.3762884808656,0.0,33.4556406020076,66.3029505982081,0.241408799784296,59.4,66.1,73.3,560.0,554.0,2.16,97.84,0.0,2.351,7.946,224,598,322,1122,1,21.49
mAb141,83.6,9.07,54.52,36.41,2.61,0.0,80.37,19.63,31.2889298565525,67.386762368405,1.32430777504246,23.5684947815617,75.1689160279953,1.26258919044301,58.2,64.5,73.3,561.0,554.0,2.22,73.77,24.01,2.363,7.835,190,588,360,1184,1,21.238
mAb142,69.4,8.33,64.79,26.87,2.612,0.0,84.77,15.23,19.8986934155872,79.0296173045482,1.07168927986454,27.1475371172088,71.3717323099548,1.48073057283641,57.5,64.4,73.3,561.0,550.0,1.98,85.86,12.16,2.356,7.827,234,626,316,1090,1,20.733
mAb143,229.3,2.77,97.23,0.0,2.628,0.0,100.0,0.0,0.431333123640277,99.5686668763597,0.0,32.6023032026362,67.0328955386556,0.364801258708212,58.9,65.8,73.3,557.0,555.0,1.44,98.56,0.0,2.372,7.871,262,654,308,1068,1,23.003
mAb144,178.7,8.47,85.37,6.17,2.635,0.0,95.19,4.8,4.68534840717004,94.8906909044402,0.423960688389758,31.4712444653886,67.9433032834231,0.5854522511883,58.7,65.3,73.3,556.0,557.0,1.62,98.38,0.0,2.37,7.837,270,642,312,1066,1,23.223
mAb145,281.1,1.83,98.17,0.0,2.623,0.0,100.0,0.0,0.242405747819786,99.7575942521802,0.0,32.3391077049361,67.4474885234163,0.213403771647606,59.5,66.2,73.3,557.0,550.0,2.09,97.91,0.0,2.362,7.837,190,590,304,1156,1,21.731
mAb146,49.8,9.48,83.68,6.84,2.531,0.0,100.0,0.0,4.5,95.5,0.0,33.5,63.0,3.5,57.1,67.8,73.3,557.0,544.0,1.01,93.05,5.94,2.397,7.63,186,570,308,1102,1,22.38
mAb147,236.4,3.31,90.5,6.2,2.551,1.01,98.99,0.0,6.4,93.6,0.0,32.6,64.2,3.1,57.5,66.0,73.3,546.0,548.0,3.68,95.02,1.3,2.392,8.055,200,614,312,1098,1,22.73
mAb148,769.7,5.79,94.22,0.0,2.54,0.0,100.0,0.0,1.3,98.7,0.0,32.2,67.1,0.7,57.5,71.2,73.3,547.0,546.0,8.14,91.86,0.0,2.396,7.727,214,638,346,1112,1,24.03
mAb149,208.7,4.39,89.0,6.62,2.53,0.0,100.0,0.0,7.6,92.4,0.0,31.9,66.3,1.8,55.6,70.1,73.3,551.0,547.0,9.08,87.89,3.02,2.366,7.685,164,536,350,1112,1,24.62
mAb150,17.5,1.74,98.26,0.0,2.528,0.0,89.71,10.29,0.0,100.0,0.0,40.6,59.4,0.0,63.0,70.0,73.1290023803711,542.0,549.0,0.29,99.71,0.0,2.3,8.642,222,450,316,1418,0,20.18
mAb151,169.9,3.47,96.54,0.0,2.544,1.02,98.98,0.0,0.5,99.5,0.0,32.7,66.0,1.3,63.0,70.0,73.1290023803711,539.0,545.0,0.29,99.71,0.0,2.397,8.917,218,426,274,1280,0,20.54
mAb152,142.1,2.5,97.5,0.0,2.53,0.0,100.0,0.0,0.8,98.8,0.4,32.3,67.2,0.4,65.2,72.7,81.0,538.0,543.0,0.63,99.37,0.0,2.394,8.767,258,446,342,1384,0,22.07
