source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_viscosity_training_record,kan,2,57,1000,0.0418,0.0556,0.001
primary_viscosity_training_record,kan,2,58,1000,0.0417,0.0531,0.001
primary_viscosity_training_record,kan,2,59,1000,0.0412,0.0541,0.001
primary_viscosity_training_record,kan,2,60,1000,0.0407,0.0555,0.001
primary_viscosity_training_record,kan,2,61,1000,0.0406,0.054,0.001
primary_viscosity_training_record,kan,2,62,1000,0.0402,0.0529,0.001
primary_viscosity_training_record,kan,2,63,1000,0.0399,0.0537,0.001
primary_viscosity_training_record,kan,2,64,1000,0.0396,0.0528,0.001
primary_viscosity_training_record,kan,2,65,1000,0.0392,0.0521,0.001
primary_viscosity_training_record,kan,2,66,1000,0.0391,0.0515,0.001
primary_viscosity_training_record,kan,2,67,1000,0.0387,0.0524,0.001
primary_viscosity_training_record,kan,2,68,1000,0.0385,0.0517,0.001
primary_viscosity_training_record,kan,2,69,1000,0.0384,0.0522,0.001
primary_viscosity_training_record,kan,2,70,1000,0.0379,0.0503,0.001
primary_viscosity_training_record,kan,2,71,1000,0.0377,0.0507,0.001
primary_viscosity_training_record,kan,2,72,1000,0.0374,0.0514,0.001
primary_viscosity_training_record,kan,2,73,1000,0.0372,0.0488,0.001
primary_viscosity_training_record,kan,2,74,1000,0.0369,0.0497,0.001
primary_viscosity_training_record,kan,2,75,1000,0.0365,0.051,0.001
primary_viscosity_training_record,kan,2,76,1000,0.0364,0.0503,0.001
primary_viscosity_training_record,kan,2,77,1000,0.0362,0.0482,0.001
primary_viscosity_training_record,kan,2,78,1000,0.0358,0.0496,0.001
primary_viscosity_training_record,kan,2,79,1000,0.0356,0.05,0.001
primary_viscosity_training_record,kan,2,80,1000,0.0353,0.048,0.001
primary_viscosity_training_record,kan,2,81,1000,0.0353,0.0474,0.001
primary_viscosity_training_record,kan,2,82,1000,0.0348,0.0488,0.001
primary_viscosity_training_record,kan,2,83,1000,0.0349,0.0495,0.001
primary_viscosity_training_record,kan,2,84,1000,0.0349,0.0453,0.001
primary_viscosity_training_record,kan,2,85,1000,0.0343,0.0479,0.001
primary_viscosity_training_record,kan,2,86,1000,0.0338,0.0487,0.001
primary_viscosity_training_record,kan,2,87,1000,0.034,0.0477,0.001
primary_viscosity_training_record,kan,2,88,1000,0.0336,0.0451,0.001
primary_viscosity_training_record,kan,2,89,1000,0.0335,0.0477,0.001
primary_viscosity_training_record,kan,2,90,1000,0.0331,0.0469,0.001
primary_viscosity_training_record,kan,2,91,1000,0.0326,0.0446,0.001
primary_viscosity_training_record,kan,2,92,1000,0.0326,0.0451,0.001
primary_viscosity_training_record,kan,2,93,1000,0.0324,0.0478,0.001
primary_viscosity_training_record,kan,2,94,1000,0.0322,0.0451,0.001
primary_viscosity_training_record,kan,2,95,1000,0.0319,0.045,0.001
