source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_mouse_exposure_training_record,spline,1,152,1000,0.0506,0.0573,6.25e-05
primary_mouse_exposure_training_record,spline,1,153,1000,0.0506,0.057,6.25e-05
primary_mouse_exposure_training_record,spline,1,154,1000,0.0506,0.0572,6.25e-05
primary_mouse_exposure_training_record,spline,1,155,1000,0.0506,0.0571,6.25e-05
primary_mouse_exposure_training_record,spline,1,156,1000,0.0506,0.0576,6.25e-05
primary_mouse_exposure_training_record,spline,1,157,1000,0.0506,0.0574,6.25e-05
primary_mouse_exposure_training_record,spline,1,158,1000,0.0505,0.0571,3.125e-05
primary_mouse_exposure_training_record,spline,1,159,1000,0.0505,0.057,3.125e-05
primary_mouse_exposure_training_record,spline,1,160,1000,0.0505,0.057,3.125e-05
primary_mouse_exposure_training_record,spline,1,161,1000,0.0505,0.057,3.125e-05
primary_mouse_exposure_training_record,spline,1,162,1000,0.0504,0.0571,3.125e-05
primary_mouse_exposure_training_record,spline,1,163,1000,0.0504,0.0571,3.125e-05
primary_mouse_exposure_training_record,spline,1,164,1000,0.0504,0.0573,3.125e-05
primary_mouse_exposure_training_record,spline,1,165,1000,0.0504,0.0575,3.125e-05
primary_mouse_exposure_training_record,spline,1,166,1000,0.0504,0.0573,3.125e-05
primary_mouse_exposure_training_record,spline,1,167,1000,0.0504,0.0572,3.125e-05
primary_mouse_exposure_training_record,spline,1,168,1000,0.0504,0.0571,1.5625e-05
primary_mouse_exposure_training_record,spline,1,169,1000,0.0504,0.0571,1.5625e-05
primary_mouse_exposure_training_record,spline,1,170,1000,0.0504,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,171,1000,0.0504,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,172,1000,0.0504,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,173,1000,0.0504,0.0569,1.5625e-05
primary_mouse_exposure_training_record,spline,1,174,1000,0.0503,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,175,1000,0.0503,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,176,1000,0.0503,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,177,1000,0.0503,0.057,1.5625e-05
primary_mouse_exposure_training_record,spline,1,178,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,179,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,180,1000,0.0503,0.0572,7.8125e-06
primary_mouse_exposure_training_record,spline,1,181,1000,0.0503,0.0572,7.8125e-06
primary_mouse_exposure_training_record,spline,1,182,1000,0.0503,0.0572,7.8125e-06
primary_mouse_exposure_training_record,spline,1,183,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,184,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,185,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,186,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,187,1000,0.0503,0.0571,7.8125e-06
primary_mouse_exposure_training_record,spline,1,188,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,1,189,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,1,190,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,1,191,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,1,192,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,1,193,1000,0.0503,0.0571,3.9063e-06
primary_mouse_exposure_training_record,spline,2,1,1000,0.6596,0.4992,0.001
primary_mouse_exposure_training_record,spline,2,2,1000,0.4352,0.1677,0.001
primary_mouse_exposure_training_record,spline,2,3,1000,0.1999,0.2246,0.001
primary_mouse_exposure_training_record,spline,2,4,1000,0.1749,0.1292,0.001
primary_mouse_exposure_training_record,spline,2,5,1000,0.1378,0.1372,0.001
primary_mouse_exposure_training_record,spline,2,6,1000,0.1332,0.1172,0.001
primary_mouse_exposure_training_record,spline,2,7,1000,0.1202,0.1225,0.001
primary_mouse_exposure_training_record,spline,2,8,1000,0.121,0.1164,0.001
primary_mouse_exposure_training_record,spline,2,9,1000,0.1137,0.1147,0.001
primary_mouse_exposure_training_record,spline,2,10,1000,0.1118,0.1142,0.001
primary_mouse_exposure_training_record,spline,2,11,1000,0.1088,0.1121,0.001
primary_mouse_exposure_training_record,spline,2,12,1000,0.1069,0.1085,0.001
primary_mouse_exposure_training_record,spline,2,13,1000,0.1061,0.1068,0.001
primary_mouse_exposure_training_record,spline,2,14,1000,0.1034,0.1081,0.001
primary_mouse_exposure_training_record,spline,2,15,1000,0.103,0.1066,0.001
primary_mouse_exposure_training_record,spline,2,16,1000,0.1012,0.1043,0.001
primary_mouse_exposure_training_record,spline,2,17,1000,0.1012,0.1038,0.001
primary_mouse_exposure_training_record,spline,2,18,1000,0.0997,0.1041,0.001
primary_mouse_exposure_training_record,spline,2,19,1000,0.0984,0.1018,0.001
primary_mouse_exposure_training_record,spline,2,20,1000,0.0976,0.0994,0.001
primary_mouse_exposure_training_record,spline,2,21,1000,0.0963,0.0984,0.001
primary_mouse_exposure_training_record,spline,2,22,1000,0.0962,0.0974,0.001
primary_mouse_exposure_training_record,spline,2,23,1000,0.0943,0.0974,0.001
primary_mouse_exposure_training_record,spline,2,24,1000,0.0944,0.0975,0.001
primary_mouse_exposure_training_record,spline,2,25,1000,0.0933,0.0959,0.001
primary_mouse_exposure_training_record,spline,2,26,1000,0.0928,0.0988,0.001
primary_mouse_exposure_training_record,spline,2,27,1000,0.0927,0.0949,0.001
primary_mouse_exposure_training_record,spline,2,28,1000,0.0934,0.0933,0.001
primary_mouse_exposure_training_record,spline,2,29,1000,0.0916,0.0933,0.001
primary_mouse_exposure_training_record,spline,2,30,1000,0.0902,0.0918,0.001
primary_mouse_exposure_training_record,spline,2,31,1000,0.0902,0.0926,0.001
primary_mouse_exposure_training_record,spline,2,32,1000,0.0892,0.0948,0.001
primary_mouse_exposure_training_record,spline,2,33,1000,0.0898,0.0899,0.001
primary_mouse_exposure_training_record,spline,2,34,1000,0.088,0.089,0.001
primary_mouse_exposure_training_record,spline,2,35,1000,0.0894,0.0903,0.001
primary_mouse_exposure_training_record,spline,2,36,1000,0.0872,0.089,0.001
primary_mouse_exposure_training_record,spline,2,37,1000,0.0867,0.0882,0.001
primary_mouse_exposure_training_record,spline,2,38,1000,0.0874,0.0882,0.001
primary_mouse_exposure_training_record,spline,2,39,1000,0.0859,0.0921,0.001
primary_mouse_exposure_training_record,spline,2,40,1000,0.0851,0.0874,0.001
primary_mouse_exposure_training_record,spline,2,41,1000,0.0854,0.0866,0.001
primary_mouse_exposure_training_record,spline,2,42,1000,0.0892,0.0861,0.001
primary_mouse_exposure_training_record,spline,2,43,1000,0.0843,0.0959,0.001
primary_mouse_exposure_training_record,spline,2,44,1000,0.0863,0.0896,0.001
primary_mouse_exposure_training_record,spline,2,45,1000,0.0845,0.0863,0.001
primary_mouse_exposure_training_record,spline,2,46,1000,0.085,0.0841,0.001
